NAME : Artificial_POP_Instance
COMMENT : Generated POP instance with 52 locations
DIMENSION : 52
TMAX : 1200
TPRIZE : 25563
MIN_PRIZE: 7668
MIN_PROB: 0.7
EDGE_WEIGHT_TYPE : CEIL_2D
NODE_COORD_SECTION
1 637 261
2 759 367
3 814 707
4 965 861
5 757 667
6 944 542
7 29 860
8 476 794
9 965 255
10 664 53
11 922 160
12 115 380
13 480 889
14 252 389
15 556 104
16 587 255
17 13 748
18 221 417
19 286 186
20 938 888
21 784 398
22 163 780
23 816 73
24 142 632
25 632 455
26 129 135
27 1 995
28 892 5
29 214 792
30 220 983
31 169 893
32 170 296
33 321 984
34 203 552
35 897 694
36 640 209
37 186 963
38 991 707
39 201 989
40 988 915
41 392 305
42 22 369
43 424 169
44 958 149
45 270 66
46 339 308
47 837 617
48 600 3
49 610 694
50 724 346
51 67 317
52 363 838
NODE_PRIZE_PROBABILITY_SECTION
1 0 1.0
2 692 0.76
3 523 0.46
4 389 0.51
5 692 0.76
6 683 0.35
7 380 0.56
8 258 0.63
9 462 0.32
10 223 0.55
11 566 0.49
12 613 0.45
13 218 0.52
14 762 0.4
15 628 0.88
16 574 0.66
17 585 0.75
18 792 0.53
19 209 0.37
20 663 0.9
21 247 0.5
22 385 0.36
23 401 0.7
24 321 0.47
25 451 0.38
26 673 0.53
27 552 0.33
28 724 0.57
29 563 0.38
30 737 0.91
31 456 0.6
32 673 0.41
33 310 0.51
34 576 0.84
35 502 0.65
36 237 0.41
37 643 0.46
38 293 0.48
39 413 0.71
40 548 0.36
41 725 0.84
42 571 0.6
43 351 0.38
44 548 0.81
45 482 0.73
46 758 0.42
47 294 0.49
48 519 0.57
49 524 0.59
50 513 0.56
51 381 0.33
52 280 0.6
